"accuratePass" "lostCorners" "goalsConceded" "saves" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "totalTackle" "penGoalsConceded" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "blockedScoringAtt" "totalScoringAtt" "totalThrows" "totalSubOff" "shotOffTarget" "wonCorners" "cornerTaken" "penaltyConceded" "yellowCard" "ontargetScoringAtt" "fouls" "wonTackle" "wasFouled" "goals" "totalSubOn" "stats[2, ]" "totalOffside" "local" "id_partido" "penaltyWon" "goalAssist" "cleanSheet" "ownGoals" "penaltySave" "secondYellow" "redCard"
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-20Z" "oywgvfa23kv1v1407be9ev2v" "Japan U20" "6hbv987507pwsugwufsx1d2ei" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "1ocwfffs2nxam7wlwpqce7b6y" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA "1" NA "0" "2018-08-20Z" "oywgvfa23kv1v1407be9ev2v" "Japan U20" "du2wvawhx2vb5sph5plzrdnu1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA FALSE "1ocwfffs2nxam7wlwpqce7b6y" NA NA NA NA NA NA NA
"13" "1" "1" "2" NA "10" "28" "1" NA NA "90" NA "1" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "6vqain7mmp94wueprv9aj5xp1" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA "1" NA NA NA NA NA
"18" NA "1" NA NA NA "26" "1" NA NA "90" "6" "3" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "b3i5okqaspq6w7w456ab4cxjp" "Defender" NA NA "19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"28" "2" "1" NA NA NA "34" "1" "1" NA "90" "7" "6" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "e6s5iphbrws04dxrvw0xqd7f9" "Defender" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"23" NA "1" NA NA NA "27" "1" "1" NA "90" "6" "5" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "230r9tcwg89z5b9kxdqwi336d" "Defender" NA "1" NA NA "1" NA NA NA NA NA NA "1" "1" NA NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"13" NA "1" NA NA NA "20" "1" NA NA "90" "4" "2" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "9cjjs4piq3t12iltsfon52h91" "Defender" "1" "3" "18" NA "1" "1" NA NA NA "1" NA NA NA NA NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"8" NA "1" NA NA NA "13" "1" "1" NA "71" "1" "8" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "c4tkrrhs6o8ii0wnmi5y66cwl" "Midfielder" NA "3" NA "1" "2" NA NA NA NA "1" NA "1" "4" "1" NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"30" NA "1" NA NA NA "42" "1" NA NA "90" NA "4" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8etvu6b9z7sm2rg3wqkmchk9h" "Midfielder" NA NA NA NA NA NA NA NA "1" NA "1" NA "1" NA NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"22" NA "1" NA NA NA "27" "1" "1" NA "76" "2" "7" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "49tbu841s20wivafeostkffmd" "Midfielder" NA NA NA "1" NA NA NA NA "1" NA "2" "1" "1" NA NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"14" NA "1" NA NA NA "20" "1" "4" NA "90" "3" "11" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8gxse7h6ucubo3weq7sp9dnf9" "Striker" NA "3" NA NA "1" "1" "1" NA NA "2" "4" "2" "1" "1" NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA "2" NA NA NA NA NA
"18" NA "1" NA NA NA "23" "1" NA NA "90" NA "9" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "10d8jj5vwrmib55tth0isfvft" "Striker" "1" "8" NA NA "1" "2" NA NA NA "6" NA NA "1" "3" NA NA "1" TRUE "diiln96a7g6s3zdefpvy8vpey" NA "1" NA NA NA NA NA
"13" NA "1" NA NA NA "19" "1" "2" NA "82" "1" "10" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "5qxvej7pcqqr989sba7k0jv85" "Striker" NA "3" NA "1" "2" NA "2" NA NA "1" NA "2" "1" "1" NA NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA "1" NA NA NA NA NA
"2" NA NA NA NA NA "2" NA NA NA "19" NA "0" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "90i1zt922wb519mbo8hzwwpg5" "Substitute" NA NA "1" NA NA NA NA NA NA NA NA NA NA NA "1" NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "et6offb5y91ch6mlol3dwcd0p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"3" NA NA NA NA NA "4" NA "1" NA "14" NA "0" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "c0my4y3kjf7jbbfujj5l8e8yx" "Substitute" NA "2" "1" NA "2" "1" NA NA NA NA NA "1" NA NA "1" NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "ainli27xiinwmtncalaagu9qt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "40drqeciuqe2j07g5cnc6xf55" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"5" NA NA NA NA NA "7" NA NA NA "8" NA "0" "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "dtug7lsozk7zdhf415pp3s25l" "Substitute" NA NA NA NA NA NA "2" NA NA NA NA NA NA NA "1" NA NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "bo5e35lsptja0pnlvk1y38dex" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8zpj2ov0kc2d7a2b14ys2y8dl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "20ccu2ngcfo3cvczhzk682ju1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "3rh7yurfuhun7zvoymgjb7g7p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"23" NA "6" "5" NA "8" "28" "1" NA NA "90" NA "1" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "1tvu4rv4o96wqjzk836y9bp3p" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"37" "2" "6" NA NA NA "56" "1" "1" NA "90" "9" "3" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "1vf13oxq37ppe5jb1td8du8r9" "Defender" NA "1" "2" NA NA "1" "1" NA NA "1" NA "1" NA NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"18" "2" "6" NA NA NA "28" "1" "3" NA "90" "3" "6" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "en0tkbsirwu9mb2czbwuyr5yh" "Defender" "1" "2" "13" NA "1" NA NA NA NA NA "1" "3" NA NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"36" NA "6" NA NA NA "48" "1" "3" NA "90" "2" "5" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "1u5embf75k2eq9s4nb35v7dud" "Defender" NA NA NA NA NA NA NA NA NA NA "1" "3" NA NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"18" NA "6" NA NA "1" "23" "1" "4" NA "81" "2" "2" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "5iehntcv5snhylox5yxw3ghrd" "Defender" NA NA "23" "1" NA "1" NA NA NA NA "1" "4" "2" NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"15" NA "6" NA NA NA "23" "1" "2" NA "90" NA "11" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "cp4zctgc9g0g8tkwppioezb3d" "Midfielder" "1" "3" NA NA "1" NA NA NA NA "1" NA "2" "1" "1" NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"13" NA "6" NA NA NA "29" "1" "3" NA "90" "1" "8" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "cxedq8sdgkiwv6pbhixud0v3e" "Midfielder" NA NA NA NA NA NA NA NA NA NA "2" "3" NA NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"24" "1" "4" NA NA NA "29" "1" NA NA "65" "1" "4" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "cjtiw4hmw74ewdy4qkbr9pm1" "Midfielder" NA "1" NA "1" NA NA "1" NA NA "1" "2" NA NA NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"8" NA "4" NA NA NA "16" "1" "1" NA "65" "1" "7" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "200e4qdhqn6rbb0wkoyd9f55h" "Midfielder" NA NA NA "1" NA NA NA NA NA NA NA "1" NA NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"5" NA "6" NA NA NA "10" "1" "2" NA "90" "1" "9" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "8b48bcl6rbadvwzysievg0jxl" "Striker" NA "2" "1" NA "2" NA NA NA NA NA NA "2" "2" NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"10" NA "6" NA NA NA "16" "1" NA NA "90" NA "10" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "6qluqs5sibeqhzrq9fjfidsrt" "Striker" NA NA NA NA NA NA NA NA NA NA "2" NA "1" NA NA NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA "1" NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "5z79tcfddpxwqxvp25gjqccx6" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"4" NA "2" NA NA NA "8" NA "1" NA "25" "1" "0" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "92evdvc91n6p0qnhpqeuruwdm" "Substitute" NA "1" NA NA "1" NA "1" NA NA NA NA NA "1" NA "1" NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "86g79euas5puuwhx2ecohv9ey" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"4" NA "2" NA NA NA "4" NA NA NA "25" NA "0" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "dz6k2m3lvtt8ltsa1xat1x5ux" "Substitute" "1" "1" NA NA NA "1" NA NA NA NA "1" NA NA NA "1" NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "xjj9tnx3jb4kcd76gx4xh4kq" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "1uewwi6dnf2kcw6qvuai0iled" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "1ov113xctfa8t94zjr32ngv6x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "1zrvy1a38q40yb6sa7s0rk8ut" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
NA NA NA NA NA NA "3" NA NA NA "9" "1" "0" "2018-08-12Z" "7972gnqp808tpj5yrv7nlefma" "Mexico U20" "5m1vfjv1riyugmnm9foklhg4p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA FALSE "diiln96a7g6s3zdefpvy8vpey" NA NA NA NA NA NA NA
"25" NA "1" NA NA "3" "28" "1" NA NA "90" NA "1" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "6vqain7mmp94wueprv9aj5xp1" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"28" "1" "1" NA NA NA "35" "1" "3" NA "90" NA "3" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "b3i5okqaspq6w7w456ab4cxjp" "Defender" NA NA "9" NA NA NA "3" NA NA NA NA "3" NA NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"45" NA "1" NA NA NA "51" "1" NA NA "90" "2" "6" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "e6s5iphbrws04dxrvw0xqd7f9" "Defender" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"35" NA "1" NA NA NA "43" "1" NA NA "90" "3" "5" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "230r9tcwg89z5b9kxdqwi336d" "Defender" NA "1" NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"26" NA "1" NA NA NA "38" "1" "2" NA "90" "3" "2" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "9cjjs4piq3t12iltsfon52h91" "Defender" NA "1" "16" NA NA NA NA NA NA "1" NA "2" "1" NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"37" NA "1" NA NA NA "48" "1" "1" NA "90" NA "4" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "49tbu841s20wivafeostkffmd" "Defensive Midfielder" NA NA NA NA NA NA NA NA NA NA "1" NA "1" NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"22" NA "1" NA NA NA "34" "1" "4" NA "89" NA "11" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8gxse7h6ucubo3weq7sp9dnf9" "Midfielder" NA "1" NA "1" "1" NA NA NA NA NA NA "4" NA NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"21" "1" "1" NA NA NA "26" "1" "2" NA "90" "1" "10" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "90i1zt922wb519mbo8hzwwpg5" "Midfielder" "1" "1" NA NA NA "1" NA NA NA NA NA "1" "1" NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA "1" NA NA NA NA NA
"25" NA "1" NA NA NA "30" "1" NA NA "90" NA "8" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "c4tkrrhs6o8ii0wnmi5y66cwl" "Midfielder" "2" "7" "1" NA "3" "1" "1" NA NA "2" "1" NA NA "2" NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"18" NA "1" NA NA NA "30" "1" "3" NA "84" "1" "7" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "5qxvej7pcqqr989sba7k0jv85" "Midfielder" "1" "1" NA "1" NA "3" "3" NA NA NA "1" "3" NA NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"15" NA "1" NA NA NA "22" "1" NA NA "90" "1" "9" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "10d8jj5vwrmib55tth0isfvft" "Striker" "2" "4" NA NA "2" "2" NA NA NA NA NA NA "2" NA NA NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"2" NA NA NA NA NA "3" NA NA NA "1" NA "0" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "et6offb5y91ch6mlol3dwcd0p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"1" NA NA NA NA NA "3" NA NA NA "6" NA "0" "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "c0my4y3kjf7jbbfujj5l8e8yx" "Substitute" NA "1" NA NA NA NA NA NA NA "1" NA NA NA NA "1" NA NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "ainli27xiinwmtncalaagu9qt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "40drqeciuqe2j07g5cnc6xf55" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "dtug7lsozk7zdhf415pp3s25l" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "bo5e35lsptja0pnlvk1y38dex" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8zpj2ov0kc2d7a2b14ys2y8dl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "20ccu2ngcfo3cvczhzk682ju1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "3rh7yurfuhun7zvoymgjb7g7p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"14" NA "2" "2" NA "9" "19" "1" "1" NA "90" "1" "1" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "bxrfg32lc9sspg2ewx160yqxh" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"38" NA "2" NA NA NA "48" "1" "5" NA "80" "1" "3" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "1666r6f49dhygr3dr1o7si1nt" "Defender" NA NA "9" "1" NA NA NA NA NA NA "1" "5" NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"63" "5" "2" NA NA NA "78" "1" "5" NA "90" "9" "6" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "1euxm106eodeidsr5gor1kbmd" "Defender" NA NA NA NA NA NA NA NA NA NA NA "4" NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"67" "2" "2" NA NA NA "82" "1" "4" NA "90" "3" "5" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "8euuw3bcr2dhccp9i1r7ickix" "Defender" NA NA NA NA NA NA NA NA NA NA "1" "2" NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"44" NA "2" NA NA NA "56" "1" "5" NA "90" "2" "2" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "6ev7kdpodjfqtfdh3q21jht5h" "Defender" NA NA "19" NA NA NA NA NA NA NA "1" "3" NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"35" NA "2" NA NA NA "48" "1" "4" NA "90" "1" "8" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "bf38nsprlsb7783sgyl1ezq3t" "Midfielder" "1" "2" "1" NA "1" NA NA NA NA NA NA "2" NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"45" NA "2" NA NA NA "48" "1" "4" NA "87" NA "4" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "1295fje6pbvw06kym1ikibs2d" "Midfielder" NA NA NA "1" NA NA NA NA NA NA NA "2" NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"36" NA "2" NA NA NA "50" "1" "2" NA "90" NA "7" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "6ywketcafnc6x3tncvohzesx5" "Midfielder" "1" "2" NA NA NA NA NA NA NA "1" "2" "1" "2" "1" NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"8" NA "2" NA NA NA "13" "1" NA NA "71" "1" "11" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "2bbzg7i8aretzlsdda0m52kq2" "Striker" NA NA NA "1" NA "1" "1" NA NA NA NA NA NA NA NA NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"21" NA "2" NA NA NA "27" "1" "2" NA "90" "1" "9" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "8naofch9q65b4ywf0rzqekd05" "Striker" NA NA NA NA NA NA NA NA NA NA "1" "1" NA NA NA NA "1" FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"15" NA "2" NA NA NA "22" "1" "4" NA "90" NA "10" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "bfjuk0ktbe8l4kdssbprb1muh" "Striker" NA NA "1" NA NA NA NA NA NA NA "1" "4" NA NA NA NA "1" FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "db65b7cls5picfhcp8pjfizu1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
"3" NA NA NA NA NA "5" NA "2" NA "19" NA "0" "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "8gk907gsybyjlpdb57cg91srt" "Substitute" NA NA NA NA NA "1" "1" NA NA NA NA NA NA NA "1" NA NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-17Z" "czxw0bxygisaeqe410s72wf3e" "Netherlands U20" "7k2mes4xcnfpfe3wvjrij133d" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "5f8sbykpiec4n02tdueg9fuqy" NA NA NA NA NA NA NA
