"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "lostCorners" "totalScoringAtt" "totalThrows" "totalTackle" "shotOffTarget" "fouls" "wasFouled" "ontargetScoringAtt" "goals" "totalSubOff" "wonCorners" "yellowCard" "cornerTaken" "totalSubOn" "stats[2, ]" "local" "id_partido" "blockedScoringAtt" "totalOffside" "goalAssist" "cleanSheet" "ownGoals" "redCard" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "penaltySave" "secondYellow"
"22" "1" NA NA "26" "1" "80" "1" "11" "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "717vm73id38xecbx14zlg7089" "Attacking Midfielder" "3" "1" NA "1" "3" NA "1" "2" NA NA "1" NA "1" NA NA NA TRUE "17s0laqr9gswcba585y6vjgq2" NA "1" NA NA NA NA NA "1" NA NA NA NA
"42" "1" NA NA "52" "1" "90" NA "10" "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "79dz7zni5fcgh5e70spoj2j8p" "Attacking Midfielder" "4" NA "4" NA "4" "3" "2" "3" "1" NA NA NA "1" NA NA NA TRUE "17s0laqr9gswcba585y6vjgq2" NA NA "1" NA NA NA NA "1" NA NA NA NA
"43" "1" NA NA "50" "1" "90" NA "7" "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "9ncagt0ezp4f41hz3b64af1t5" "Attacking Midfielder" "1" "1" "1" NA "1" "1" "1" "2" NA NA NA "1" NA "2" NA NA TRUE "17s0laqr9gswcba585y6vjgq2" NA NA "1" NA NA NA NA "1" NA NA NA NA
"18" "1" NA NA "21" "1" "86" NA "9" "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "6u2ob6fv950r1qve8uejkq2uh" "Striker" NA NA "4" NA NA "2" "2" NA "2" "2" "1" NA NA NA NA NA TRUE "17s0laqr9gswcba585y6vjgq2" NA "1" NA NA NA NA NA "1" NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "7sep6mx2s67mh5fr3raxu7aei" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "cxap60ko5kx62hcfpun5j6ane" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "ccu7hw3wrcspl1a18g2ldnsh5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"4" NA NA NA "6" NA "10" NA "0" "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "ckt75xb064etqh7aep6k5pfqh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "1yev88jhwy9w7c4v3m4yyul7t" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"4" NA NA NA "4" NA "4" NA "0" "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "5dwcy73j3ybqfebmpevk4te5l" "Substitute" NA NA "1" NA NA NA NA NA NA NA NA "1" NA NA "1" NA TRUE "17s0laqr9gswcba585y6vjgq2" "1" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "boa0e436nc3u53cumlao9ulex" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "8szyip8c62bier901hmpqc7vt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "7i2sz4me46ln3vgho0qijop9l" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"1" NA NA NA "1" NA "1" NA "0" "2017-10-11Z" "dnxp248asclhqp2ahf822te9v" "France U17" "6p2q3kpm93gwoaqdvjhxpe2g9" "Substitute" NA NA NA NA "1" NA NA NA NA NA NA NA NA NA "1" NA TRUE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"23" "2" "2" "6" "25" "1" "90" "1" "1" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "2mlhzuv74jc84rckx21ctofd" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"68" "2" NA NA "79" "1" "90" "1" "3" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "9qugefy6toogpl37zi90s9uy1" "Defender" "2" "2" NA "6" "2" NA "3" "3" NA NA NA NA "1" NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"81" "2" NA NA "88" "1" "90" NA "6" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "3g3x2ws0npu7aa51h4nx7nazu" "Defender" "3" NA NA NA "4" NA "1" NA NA NA NA NA "1" NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"41" "1" NA NA "44" "1" "45" NA "5" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "5s151hcgpbhtuuarwfchd47ze" "Defender" NA NA NA NA "1" NA NA "1" NA NA "1" NA NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"54" "2" NA NA "68" "1" "90" "2" "2" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "ad2qplv0aa66l11ipq6yh0hd5" "Defender" "3" NA "1" "1" "3" "1" NA "1" NA NA NA NA NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"31" "2" NA NA "33" "1" "86" NA "11" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "e1wv1pujaj9nf92pgs7sm1wtm" "Midfielder" NA NA "1" NA NA NA NA NA "1" NA "1" NA NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"51" "2" NA NA "58" "1" "90" NA "8" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "cpats5brlfpugqtw8hi4vigdm" "Midfielder" "1" NA NA NA "1" NA "1" NA NA NA NA NA NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"58" "2" NA NA "64" "1" "90" NA "4" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "71fp1g53wmqtmqxmjski8xjhl" "Midfielder" "1" NA "1" NA "1" NA NA NA NA NA NA "1" NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" "1" NA NA NA NA NA NA NA NA NA NA NA
"22" "1" NA NA "25" "1" "69" NA "7" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "8wq90yejo2ktnfuzrkju45all" "Midfielder" "1" NA "1" NA "1" NA "1" "1" NA NA "1" "1" NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" "1" "1" NA NA NA NA NA NA NA NA NA NA
"13" "2" NA NA "17" "1" "90" NA "9" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "3h1911weob775j3n3r77gjlrd" "Striker" "1" NA "1" NA "1" NA "1" "4" "1" "1" NA NA NA NA NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA "1" NA NA
"19" "2" NA NA "27" "1" "90" NA "10" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "1qkep5ck252k1g3oqza5ygh61" "Striker" NA NA NA NA NA NA "2" "2" NA NA NA NA NA "2" NA NA FALSE "17s0laqr9gswcba585y6vjgq2" NA "2" NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "dsg6lclcyu8gvsyyn6jnoii95" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "em7q1sgh83xly0x1tdfiplf55" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "d5up4rm8lbdgg480a94mdjjzd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "2mfunwzltzdnmzlcjyvx752i" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"21" "1" NA NA "29" NA "45" NA "0" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "1dquu26kc4gorylrsz2b2erjd" "Substitute" NA NA NA "3" "1" NA "1" NA NA NA NA NA NA NA "1" NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "bq73cqdnv1ih6l4gl5gwhv949" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA "2" NA "4" NA "0" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "afb4cbi8a083xoi3fzl28lii1" "Substitute" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "cga931towaqsxwi0v3pr94t0p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" NA NA "3" NA "21" NA "0" "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "5k1zkxfgh3ozvjkk6q228qcbt" "Substitute" "1" NA NA NA "1" NA NA NA NA NA NA NA NA NA "1" NA FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-11Z" "c57goj5ifgrqfc6fb6i4l1scl" "Japan U17" "94zthueiu6uxw1ioe47x6pld6" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "17s0laqr9gswcba585y6vjgq2" NA NA NA NA NA NA NA NA NA NA NA NA
"21" "2" "3" "6" "37" "1" "90" "1" "1" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "821ma6ofy7t9wtdvu1w6uni09" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA "1" "1" NA NA NA NA
"21" "1" NA NA "25" "1" "88" "2" "3" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "7e7w34imugzsufvytjxytupd5" "Defender" "2" "2" "1" "1" "4" NA "2" "1" NA NA "1" NA "1" NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" "1" NA NA NA NA NA NA NA NA NA NA NA
"63" "2" NA NA "66" "1" "90" "2" "6" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "5codmq7nj98dsjhhp6rzy9eqx" "Defender" "2" "1" NA NA "2" NA "3" NA NA NA NA NA NA NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" NA NA NA NA
"65" "2" NA NA "66" "1" "90" "4" "5" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "cet0tgjv82l6ao07ij1ylgp9l" "Defender" NA NA NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" "1" NA NA NA
"31" "2" NA NA "39" "1" "90" "1" "2" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "8jwq639l6726dinix8tgnsbmx" "Defender" "1" NA NA "5" "1" NA NA NA NA NA NA NA NA NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" NA NA NA NA
"45" "2" NA NA "47" "1" "90" NA "4" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "47zyjwv31a878u1r1dgm3iwo9" "Defensive Midfielder" "2" NA "1" NA "2" "1" "1" "2" NA NA NA NA "1" NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" NA NA NA NA
"20" "1" NA NA "24" "1" "87" NA "11" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "717vm73id38xecbx14zlg7089" "Midfielder" NA NA "5" NA NA "2" NA "1" "2" "1" "1" "2" NA NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" "1" "1" NA NA NA NA NA NA NA NA NA NA
"54" "2" NA NA "62" "1" "90" NA "10" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "9ncagt0ezp4f41hz3b64af1t5" "Midfielder" "1" NA NA NA "1" NA "1" "2" NA NA NA "1" "1" "1" NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" NA NA NA NA
"37" "2" NA NA "42" "1" "90" "1" "8" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "79dz7zni5fcgh5e70spoj2j8p" "Midfielder" "5" "1" "1" NA "5" "1" NA "2" NA NA NA NA NA NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" NA NA NA NA
"14" "1" NA NA "16" "1" "79" "1" "7" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "ccu7hw3wrcspl1a18g2ldnsh5" "Midfielder" NA NA "1" NA NA NA "1" "3" "1" NA "1" "3" NA "4" NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA "1" NA NA NA NA NA NA NA NA NA NA
"14" "2" NA NA "17" "1" "90" NA "9" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "6u2ob6fv950r1qve8uejkq2uh" "Striker" NA NA "1" NA NA "1" NA "2" NA NA NA NA NA NA NA NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA "2" "1" NA NA NA NA "1" NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "7sep6mx2s67mh5fr3raxu7aei" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "cxap60ko5kx62hcfpun5j6ane" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" NA NA "1" NA "3" NA "0" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "ckt75xb064etqh7aep6k5pfqh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" NA NA NA NA
"2" "1" NA NA "3" NA "11" NA "0" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "1yev88jhwy9w7c4v3m4yyul7t" "Substitute" NA NA "1" NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "12mx8lb1nclgqk8a58ya0pca2" "1" NA NA NA NA NA NA "1" NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "5dwcy73j3ybqfebmpevk4te5l" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "boa0e436nc3u53cumlao9ulex" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "8szyip8c62bier901hmpqc7vt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" NA NA "3" NA "2" NA "0" "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "7i2sz4me46ln3vgho0qijop9l" "Substitute" NA NA NA NA "1" NA NA NA NA NA NA NA NA NA "1" NA TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA "1" NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "6p2q3kpm93gwoaqdvjhxpe2g9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "dnxp248asclhqp2ahf822te9v" "France U17" "aipyotc87m5bdvmvizd5n69k9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"18" "1" "2" "9" "22" "1" "90" "1" "1" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "gy3gs4j5xmdzmzh3uwwxteqx" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"50" "1" NA NA "54" "1" "90" "3" "3" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "emvmn561wgd62zj0s3qi5j5rd" "Defender" NA NA "1" "7" "2" NA "3" NA "1" "1" NA NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"78" "1" NA NA "89" "1" "90" "7" "6" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "e7del0ovpcpntqdgh8idxok4p" "Defender" NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"66" "1" NA NA "72" "1" "90" "5" "5" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "8nbnru9t2qxaotxw0hiaocdt5" "Defender" "1" "3" "1" NA "2" NA "1" NA "1" NA NA NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"42" "1" NA NA "46" "1" "90" "3" "2" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "5tsp2m5z3xie07ax0wq1qqsix" "Defender" "4" "1" "1" "10" "4" "1" "1" NA NA NA NA "1" NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"55" "1" NA NA "59" "1" "90" NA "4" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "anp0gdyndtivpxtd74qd0uj8p" "Defensive Midfielder" NA NA NA NA "1" NA "4" "1" NA NA NA NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"50" "1" NA NA "58" "1" "90" "2" "8" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "4zve4017u2i3zvxlnjruv25t5" "Defensive Midfielder" "1" NA NA NA "1" NA NA "1" NA NA NA NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"27" "1" NA NA "31" "1" "87" NA "11" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "d4tdx2ctadv6kc3tbq4as8bmx" "Attacking Midfielder" NA NA "3" NA "1" "1" "1" "1" "1" NA "1" "1" "1" "4" NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" "1" NA NA NA NA NA NA NA NA NA NA NA
"14" "1" NA NA "21" "1" "72" NA "10" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "2s7kc8rex8qjwiu2ebb5ow8vd" "Attacking Midfielder" NA NA "1" NA NA "1" "1" "1" NA NA "1" NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA "1" NA NA NA NA NA NA NA NA NA NA
"18" "1" NA NA "26" "1" "90" "1" "7" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "2szgrzcosfeifh664tgt3mfvt" "Attacking Midfielder" NA NA "1" NA "1" "1" "3" "3" NA NA NA "2" NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA "1" NA NA NA NA NA NA NA NA NA
"17" "1" NA NA "21" "1" "89" "1" "9" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "e5xv1rmy69kwuxjxin653ojqh" "Striker" "1" NA "3" NA "1" NA NA NA "2" "1" "1" NA NA NA NA NA FALSE "12mx8lb1nclgqk8a58ya0pca2" "1" "2" NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA "5" NA "18" NA "0" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "4fjw9xjyjmri6vncii6zrvhex" "Substitute" NA "1" NA NA "1" NA NA "1" NA NA NA NA NA NA "1" NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA "1" NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "3ycgb734ib819ntt5pxyqzgmh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"1" NA NA NA "1" NA "3" NA "0" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "7ed21mzmoafbq0ygnnyikhujt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "4ggz7e009bq3yltc9o6mifbah" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA "3" NA "1" "1" "0" "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "4qsncgkvj1t0fxxowqfurs63t" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "1wtikted5kmtz3bpu17enlvc9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "66hmc4980m6tyeqvzc6w8ulm1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "755is96khd2xj7baowj0pt6uh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "bqb9wziyiw0rngildx44uhxbd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-17Z" "hry88v6s26gd6f9jvbtz57h1" "Spain U17" "b9gvtejjtt3vqukvdeuuo1eqx" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "12mx8lb1nclgqk8a58ya0pca2" NA NA NA NA NA NA NA NA NA NA NA NA
